,noc,Gold,Silver,Bronze,Medals Won,Medals Not Won,# Observations,Gold Prob. (%),Silver Prob. (%),Bronze Prob. (%),Medal Prob. (%)
0,AFG,0,0,0,0,3,3,0.0,0.0,0.0,0.0
1,AHO,0,0,0,0,3,3,0.0,0.0,0.0,0.0
2,ALB,0,0,0,0,2,2,0.0,0.0,0.0,0.0
3,ALG,0,1,1,2,50,52,0.0,1.92,1.92,3.85
4,AND,0,0,0,0,6,6,0.0,0.0,0.0,0.0
5,ANG,0,0,0,0,14,14,0.0,0.0,0.0,0.0
6,ANT,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,ANZ,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8,ARG,1,0,1,2,63,65,1.54,0.0,1.54,3.08
9,ARM,0,0,0,0,8,8,0.0,0.0,0.0,0.0
10,ARU,0,0,0,0,5,5,0.0,0.0,0.0,0.0
11,ASA,0,0,0,0,3,3,0.0,0.0,0.0,0.0
12,AUS,0,0,2,2,85,87,0.0,0.0,2.3,2.3
13,AUT,2,2,1,5,48,53,3.77,3.77,1.89,9.43
14,AZE,1,2,1,4,25,29,3.45,6.9,3.45,13.79
15,BAH,0,0,0,0,0,0,0.0,0.0,0.0,0.0
16,BAN,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17,BAR,0,0,0,0,5,5,0.0,0.0,0.0,0.0
18,BDI,0,0,0,0,2,2,0.0,0.0,0.0,0.0
19,BEL,2,1,9,12,43,55,3.64,1.82,16.36,21.82
20,BEN,0,0,0,0,3,3,0.0,0.0,0.0,0.0
21,BER,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22,BHU,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23,BIH,0,0,0,0,7,7,0.0,0.0,0.0,0.0
24,BIZ,0,0,0,0,2,2,0.0,0.0,0.0,0.0
25,BLR,1,0,1,2,22,24,4.17,0.0,4.17,8.33
26,BOH,0,0,0,0,0,0,0.0,0.0,0.0,0.0
27,BOL,0,0,0,0,6,6,0.0,0.0,0.0,0.0
28,BOT,0,0,0,0,1,1,0.0,0.0,0.0,0.0
29,BRA,4,3,15,22,98,120,3.33,2.5,12.5,18.33
30,BRN,0,0,0,0,0,0,0.0,0.0,0.0,0.0
31,BRU,0,0,0,0,0,0,0.0,0.0,0.0,0.0
32,BUL,0,1,2,3,24,27,0.0,3.7,7.41,11.11
33,BUR,0,0,0,0,6,6,0.0,0.0,0.0,0.0
34,CAF,0,0,0,0,4,4,0.0,0.0,0.0,0.0
35,CAM,0,0,0,0,1,1,0.0,0.0,0.0,0.0
36,CAN,0,2,3,5,76,81,0.0,2.47,3.7,6.17
37,CAY,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38,CGO,0,0,0,0,7,7,0.0,0.0,0.0,0.0
39,CHA,0,0,0,0,3,3,0.0,0.0,0.0,0.0
40,CHI,0,0,0,0,6,6,0.0,0.0,0.0,0.0
41,CHN,8,3,11,22,60,82,9.76,3.66,13.41,26.83
42,CIV,0,0,0,0,11,11,0.0,0.0,0.0,0.0
43,CMR,0,0,0,0,22,22,0.0,0.0,0.0,0.0
44,COD,0,0,0,0,9,9,0.0,0.0,0.0,0.0
45,COK,0,0,0,0,0,0,0.0,0.0,0.0,0.0
46,COL,0,1,1,2,10,12,0.0,8.33,8.33,16.67
47,COM,0,0,0,0,0,0,0.0,0.0,0.0,0.0
48,CPV,0,0,0,0,1,1,0.0,0.0,0.0,0.0
49,CRC,0,0,0,0,16,16,0.0,0.0,0.0,0.0
50,CRO,0,0,0,0,3,3,0.0,0.0,0.0,0.0
51,CRT,0,0,0,0,0,0,0.0,0.0,0.0,0.0
52,CUB,6,14,16,36,58,94,6.38,14.89,17.02,38.3
53,CYP,0,0,0,0,12,12,0.0,0.0,0.0,0.0
54,CZE,1,0,0,1,15,16,6.25,0.0,0.0,6.25
55,DEN,0,0,0,0,2,2,0.0,0.0,0.0,0.0
56,DJI,0,0,0,0,3,3,0.0,0.0,0.0,0.0
57,DMA,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58,DOM,0,0,0,0,27,27,0.0,0.0,0.0,0.0
59,ECU,0,0,0,0,17,17,0.0,0.0,0.0,0.0
60,EGY,0,1,1,2,36,38,0.0,2.63,2.63,5.26
61,ERI,0,0,0,0,0,0,0.0,0.0,0.0,0.0
62,ESA,0,0,0,0,10,10,0.0,0.0,0.0,0.0
63,ESP,3,1,2,6,69,75,4.0,1.33,2.67,8.0
64,EST,0,0,3,3,6,9,0.0,0.0,33.33,33.33
65,ETH,0,0,0,0,0,0,0.0,0.0,0.0,0.0
66,EUN,2,0,2,4,9,13,15.38,0.0,15.38,30.77
67,FIJ,0,0,0,0,17,17,0.0,0.0,0.0,0.0
68,FIN,0,0,0,0,27,27,0.0,0.0,0.0,0.0
69,FRA,14,10,25,49,86,135,10.37,7.41,18.52,36.3
70,FRG,1,4,3,8,18,26,3.85,15.38,11.54,30.77
71,FSM,0,0,0,0,0,0,0.0,0.0,0.0,0.0
72,GAB,0,0,0,0,10,10,0.0,0.0,0.0,0.0
